,Area Code,Area,Item Code,Item,Element Code,Element,Unit,Year,Value,Flag
10084,5207,South America,1770,"Meat indigenous, total",5510,Production,tonnes,1962,6840350.0,A
10085,5207,South America,1808,"Meat, Poultry",5510,Production,tonnes,1962,339841.0,A
10086,5207,South America,1765,"Meat, Total",5510,Production,tonnes,1962,6846148.0,A
10087,5207,South America,1807,Sheep and Goat Meat,5510,Production,tonnes,1962,387115.0,A
10088,5300,Asia,1122,"Meat indigenous, ass",5510,Production,tonnes,1962,14400.0,A
10089,5300,Asia,1084,"Meat indigenous, bird nes",5510,Production,tonnes,1962,2222.0,A
10090,5300,Asia,972,"Meat indigenous, buffalo",5510,Production,tonnes,1962,1021464.0,A
10091,5300,Asia,1137,"Meat indigenous, camel",5510,Production,tonnes,1962,51590.0,A
10092,5300,Asia,944,"Meat indigenous, cattle",5510,Production,tonnes,1962,1825074.0,A
10093,5300,Asia,1094,"Meat indigenous, chicken",5510,Production,tonnes,1962,1287277.0,A
10094,5300,Asia,1070,"Meat indigenous, duck",5510,Production,tonnes,1962,216455.0,A
10095,5300,Asia,1077,"Meat indigenous, geese",5510,Production,tonnes,1962,75638.0,A
10096,5300,Asia,1032,"Meat indigenous, goat",5510,Production,tonnes,1962,601021.0,A
10097,5300,Asia,1120,"Meat indigenous, horse",5510,Production,tonnes,1962,93228.0,A
10098,5300,Asia,1124,"Meat indigenous, mule",5510,Production,tonnes,1962,2700.0,A
10099,5300,Asia,1055,"Meat indigenous, pig",5510,Production,tonnes,1962,3494128.0,A
10100,5300,Asia,1144,"Meat indigenous, rabbit",5510,Production,tonnes,1962,16760.0,A
10101,5300,Asia,1012,"Meat indigenous, sheep",5510,Production,tonnes,1962,870706.0,A
